Esto no es Berlín _cast,role,imdb_page
Carlos Castilian,Manufactura en Llamas 1,https://www.imdb.com//name/nm12222127/?ref_=ttfc_fc_cl_i45
Bernardo Castrejón,Sindicato del Terror 2,https://www.imdb.com//name/nm10830223/?ref_=ttfc_fc_cl_i46
Patricia Kattkins,Manufactura en Llamas 2,https://www.imdb.com//name/nm13731928/?ref_=ttfc_fc_cl_i47
Erick Alister,Urdapilleta,https://www.imdb.com//name/nm13731925/?ref_=ttfc_fc_cl_i48
Francisco Herrera,Deni Criatura Punk,https://www.imdb.com//name/nm13731931/?ref_=ttfc_fc_cl_i49
Dalí Lantzeta,Dalí,https://www.imdb.com//name/nm10755612/?ref_=ttfc_fc_cl_i50
Danika Vanderlinden,Danika,https://www.imdb.com//name/nm11731167/?ref_=ttfc_fc_cl_i51
Diego Garzón Correa,Lucho,https://www.imdb.com//name/nm13731920/?ref_=ttfc_fc_cl_i52
Juan Carlos Herrerias,Batsi Criatura Punk,https://www.imdb.com//name/nm13731932/?ref_=ttfc_fc_cl_i53
Stephano Morales,Chico felación,https://www.imdb.com//name/nm13731927/?ref_=ttfc_fc_cl_i54
Eduardo Orozco,Gabriel Orozco,https://www.imdb.com//name/nm13731924/?ref_=ttfc_fc_cl_i55
